NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
Scottie Scheffler,88,68.3,310.3,62.1,74.4,-0.301,2.615,4218,17,2,2023,21014342,
Viktor Hovland,88,68.9,307.6,63.7,68.2,0.236,1.412,4024,9,3,2023,14112235,
Rory McIlroy,64,68.9,326.3,53.3,67.9,0.164,1.938,3494,13,2,2023,13921008,
Jon Rahm,71,68.8,314,57.7,70.5,0.336,1.343,3486,10,4,2023,16522608,
Lucas Glover,100,69.9,294.9,68.9,70.5,-0.344,0.787,3041,5,2,2023,6399296,
Max Homa,86,69.2,304.8,60.1,66.9,0.612,1.026,2871,13,2,2023,10761517,
Patrick Cantlay,72,68.8,308.6,65.5,69.8,0.305,1.564,2843,10,0,2023,10372998,
Brian Harman,93,69.3,293.6,66.8,67.6,0.399,0.281,2339,7,1,2023,9175262,
Wyndham Clark,102,69.4,313.5,54.9,67.8,0.37,0.831,2157,8,2,2023,10757490,
Matt Fitzpatrick,73,70,304.1,56.6,65.1,0.525,0.396,2043,6,1,2023,8144543,
Tommy Fleetwood,74,69.4,302.3,61.8,64.6,0.493,1.205,1967,9,0,2023,6510641,
Russell Henley,84,69.3,290.9,72.6,69.5,-0.121,1.003,1948,5,1,2023,6332282,
Keegan Bradley,82,69.8,305.6,58.5,67.1,0.447,0.438,1933,6,2,2023,9010040,
Rickie Fowler,96,69.4,308.1,58.5,68.1,0.29,1.136,1885,8,1,2023,7864161,
Xander Schauffele,81,69.1,304.1,57.5,68.4,0.667,1.201,1866,11,0,2023,8459066,
Tom Kim,90,69.2,297.6,67.5,69.5,0.115,0.834,1814,9,2,2023,7774918,
Sungjae Im,104,69.4,299.3,63,66.5,0.207,0.842,1780,9,0,2023,6665921,
Tony Finau,84,69.5,304.2,60.7,69.1,-0.133,1.257,1744,5,2,2023,5867652,
Corey Conners,86,69.7,300.6,61.4,70.2,-0.136,1.055,1688,5,1,2023,5545721,
Si Woo Kim,100,69.9,296.9,67.8,65.9,-0.308,0.984,1672,5,1,2023,5397030,
Taylor Moore,101,70.3,307.1,55.9,64.1,0.414,-0.065,1669,4,1,2023,5077211,
Nick Taylor,93,69.8,293.7,58.5,65.6,0.241,0.429,1633,6,1,2023,6242461,
Adam Schenk,119,69.9,305.6,55.2,67.7,0.344,0.351,1620,7,0,2023,4987135,
Collin Morikawa,81,69.2,296.2,68,71,-0.109,1.547,1609,7,1,2023,7573198,
Jason Day,80,69.6,304.2,61.7,66.7,0.336,0.519,1574,8,1,2023,6922758,
Sam Burns,81,70,311.4,56.6,63.6,0.584,0.212,1561,6,1,2023,7139050,
Emiliano Grillo,113,70.1,301.3,61.4,68,0.055,0.211,1543,8,1,2023,5476302,
Tyrrell Hatton,78,69.4,306.5,59.4,66.4,0.597,1.081,1509,7,0,2023,8336912,
Jordan Spieth,72,70.1,303.6,56.8,64,0.086,0.624,1506,7,0,2023,7240044,
Sepp Straka,92,70.2,299.5,64.5,68.2,0.216,0.258,1503,5,1,2023,5287574,
Sahith Theegala,106,69.9,304.9,52.8,64.9,0.485,0.304,1494,8,1,2023,7284670,
Chris Kirk,92,69.9,296.4,61.4,66.7,0.134,0.685,1476,4,1,2023,4150252,
Denny McCarthy,100,69.4,295.5,61.5,66.9,0.724,0.28,1454,8,0,2023,6760012,
Justin Rose,68,69.7,295.2,62.7,65.8,0.404,0.789,1412,5,1,2023,4635120,
Andrew Putnam,111,69.6,284.7,64.4,69.7,0.513,0.168,1309,6,0,2023,4459264,
Kurt Kitayama,72,70.7,306.2,51.5,63.3,-0.149,0.274,1300,4,1,2023,6840062,
